ブロマイド	溴化物
嫁イド鑑定団・ジュエリーボックス	新娘鉴定团·珠宝箱
嫁イド鑑定団・名刀/台座付き・白	新娘鉴定团・名刀/有底座・白
嫁イド鑑定団・名刀/台座付き・赤	新娘鉴定团・名刀/带底座・红
嫁イド鑑定団・名刀/台座付き・黒	新娘鉴定团・名刀/有底座・黑
嫁イド鑑定団・名刀/台座付き・茶	新娘鉴定团・名刀/带底座・茶
嫁イド鑑定団・名刀/台座付き・紫	新娘鉴定团・名刀/带底座・紫
嫁イド鑑定団・叔父の肖像画	新娘鉴定团・叔父的肖像画
嫁イド鑑定団・良い壺１	新娘鉴定团・好壶1
嫁イド鑑定団・良い壺２	新娘鉴定团・好壶2
嫁イド鑑定団・良い壺３	新娘鉴定团・好壶3
嫁イド鑑定団・良い壺４	新娘鉴定团・好壶4
嫁イド鑑定団・良い壺５	新娘鉴定团・好壶5
嫁イド鑑定団・良い掛け軸	新娘鉴定团・好挂轴
嫁イド鑑定団・叔父のブロマイド	新娘鉴定团・叔父的照片
嫁イド鑑定団・鑑定団ステッカー	新娘鉴定团・鉴定团贴纸
嫁イド鑑定団・名剣/立て掛け・青	新娘鉴定团·名剑/竖架·青
嫁イド鑑定団・名剣/立て掛け・赤	新娘鉴定团·名剑/竖架·红
嫁イド鑑定団・名剣/立て掛け・黒	新娘鉴定团·名剑/竖架·黑
嫁イド鑑定団・名剣/立て掛け・茶	新娘鉴定团名剑
嫁イド鑑定団・名剣/立て掛け・白	新娘鉴定团·名剑/竖架·白
嫁イドアワー・バッテリー1	新娘时间电池1
嫁イドアワー・バッテリー2	新娘时间电池2
嫁イドアワー・スマホケース1	新娘的智能手机箱1
嫁イドアワー・スマホケース2	新娘的智能手机箱2
嫁イドアワー・スマホケース3	新娘的智能手机箱3
ポスター・カスタムオーダーメイド3D2 GP-01	海报·自定义定制3D 2 GP-01
ポスター・カスタムオーダーメイド3D2+ GP-01	海报定制3D 2+GP-01
ポスター・天然サディスティックな小悪魔	海报·天然Sadistic的小恶魔
ポスター・色気のあるおしとやかなお姉さん	海报·有魅力的文静姐姐
ポスター・健康的でスポーティなボクっ娘	海报・男孩般的阳光新娘
ポスター・母性的なお姉ちゃん	海报・母性的姐姐
スティックポスター・天然サディスティックな小悪魔	棒状海报·天然Sadistic的小恶魔
スティックポスター・色気のあるおしとやかなお姉さん	棒海报・有魅力的文静姐姐
アクリルキーホルダー・色気のあるおしとやかなお姉さん	亚克力钥匙圈・有魅力的文静姐姐
アクリルキーホルダー・天然サディスティックな小悪魔	丙烯酸钥匙圈・天然Sadistic的小恶魔
Anime Expo 2018 カード	Anime Expo 2018卡
アクリルキーホルダー・メイド秘書	丙烯酸钥匙圈・女仆秘书
アクリルキーホルダー・妹	丙烯酸钥匙圈・妹妹
アクリルキーホルダー・無愛想	丙烯酸钥匙圈・冷淡
ポスター・カスタムオーダーメイド3D2 GP-02	海报·自定义定制3D 2GP-02
ポスター・カスタムオーダーメイド3D2+ GP-02	海报定制3D 2+GP-02
ポスター・メイド秘書	海报・女仆秘书
ポスター・妹	海报・妹妹
ポスター・無愛想	海报・冷淡
ポスター・高飛車で生意気なお嬢様	海报・高傲的大小姐
スティックポスター・高飛車で生意気なお嬢様	棒海报・强势自大的大小姐
アクリルキーホルダー・高飛車で生意気なお嬢様	阿克力钥匙圈・高傲自大的大小姐
電気外2019冬プレゼントカード	电外2019冬礼物卡
ポスター・CRC3D	海报・CRC 3 D
ポスター・GP003	海报・GP 003
メインカテゴリー	主分类
サブカテゴリー	子分类
試着ボタンの有無	有无试穿按钮
頭	头  部
髪	头  发
身体	身  体
服装	服  装
アクセサリ	配  饰
セット	套  装
プリセット	预  设
ランダム	随  机
プロフィール	简  介
体重	体  重
バスト	胸  围
身長	身  高
ウエスト	腰  围
ヒップ	臀  围
足の太さ	腿部调节
足の太さ2	腿部调节2
顔	脸  部
頭	头  部
眉	眉  毛
目	眼  睛
目ハイライト	瞳光
ほくろ	痣
唇	唇  部
歯	牙  齿
目のサイズ(横)	眼睛宽度
目のサイズ(縦)	眼睛大小
目の位置(横)	眼睛间距
目の位置(縦)	眼睛高低
顔のサイズ(横)	头部宽度
顔のサイズ(縦)	头部长度
前髪	前发
後髪	后发
横髪	侧髪
エクステ髪	饰  发
アホ毛	呆  毛
全身	全  身
胸	胸  部
上半身	上半身
下半身	下半身
肌	皮  肤
乳首	乳  头
タトゥー	刺  青
アンダーヘア	阴  毛
足の長さ	足部长度
身長	身  高
胴の長さ	身体长度
胸のサイズ	胸部尺寸
胸のたれ	胸部垂度
胸上下	胸部高低
胸寄り	胸部偏向
;Body->Upper
ウェスト	腰  围
お腹	腹  部
肩幅	肩  宽
腕の太さ	手臂粗细
腕の長さ	手臂长度
首の長さ	脖子长度
帽子	帽  子
ヘッドドレス	头  饰
トップス	上  装
ボトムス	下  装
ワンピース	连衣裙
水着	泳  装
ブラジャー	文  胸
パンツ	内  裤
靴下	袜  子
靴	鞋  子
パンティー	内  裤
前髪	前  发
メガネ	眼  镜
アイマスク	眼  罩
鼻	鼻  子
耳	耳  朵
手袋	手  套
ネックレス	项  链
チョーカー	项  圈
リボン	丝  带
乳首	乳  头
腕	手  腕
へそ	腹  部
足首	脚  腕
背中	背  部
しっぽ	尾  巴
前穴	小  穴
メイド服	女仆装
コスチューム	服  装
下着	内  衣
施設強化素材	设施强化材料
野菜類	蔬菜类
繊維類	纤维类
資材セット	材料套装
金属類	金属类
魚介類	鱼类
果物類	水果类
アルコール類	酒精类
その他食材	其他食材
その他資材	其他材料
グレードLv	等级Lv
下級設備資材	下级设备材料
施設を作成するのに必要な素材のセット。《改行》ネジとかナットとかも含みます。	制作设施所需要的材料的套装。《换行》也包括螺丝和螺母。
建物強化素材	建筑强化材料
上級設備資材	高级设备材料
施設を作成するのに必要な素材のセット。《改行》よりクオリティの高い素材集。	制作设施所需要的材料的套装。比《换行》质量更高的素材集。
海産物、産地直送。《改行》歯ごたえ抜群。	海产品，产地直送。《换行》口感超群。
とても高級な抹茶。《改行》ひとたび啜れば極楽浄土。	非常高级的抹茶。《换行》一次便是极乐净土。
みんな大好きなフルーツ。《改行》エンパイアクラブで使用する食材なので、一粒あたり引くレベルの金額。	大家都很喜欢的水果。《换行》因为是在裁判员俱乐部使用的食材，所以一粒一粒的价格都会下降。
ココア	可可
厳選されたココア。《改行》ほっと一息。いつもお疲れ様です。	经过严格挑选的可可。《换行》松了一口气。您总是辛苦了。
あさり	蛤蜊
特別なルートから仕入れる貝類。《改行》とっても良いダシが出ます。	从特殊途径进货的贝类。《换行》有很好的解说。
契約農家から直送される牛乳。《改行》とっても濃～い。	从合同农家直接送来的牛奶。《换行》非常浓。
とっても新鮮なエビ。《改行》まだビンビン動きます。	非常新鲜的虾。《换行》还宾格移动。
オリーブオイル	橄榄油
全ての基本の油。《改行》どばっと大量に使っちゃいましょう。	所有基本油。“换行”大量使用吧。
ニンジン	胡萝卜
真赤なお野菜。《改行》ニンジンの概念を覆すぐらい甘い。	鲜红的蔬菜。《换行》甜得颠覆了胡萝卜的概念。
アスパラ	芦笋
真緑なお野菜。《改行》串カツにして食べると美味しいです。	绿油油的蔬菜《换行》做成炸串吃很好吃。
キャベツ	卷心菜
高級キャベツ。《改行》ジューシーなぐらいみずみずしく新鮮。	高级卷心菜《换行》鲜嫩多汁的新鲜感。
金目鯛	金目鲷
ぎょろっとしたおめめのお魚。《改行》煮つけにしても、洋食にしても。	鱼刺儿《换行》无论是煮还是西餐。
パープルウッド	紫色木材
高級な天然木。《改行》綺麗なのに耐久性があり、セレブ御用達。	高级天然木《换行》漂亮耐用，名流御用。
エンパイアクロス	帝国十字
超高級な布材。《改行》数々の審査を経て初めて付けられる。エンパイアの称号を持つ。	高档布《换行》经过多次审查后首次被附加。有帝国的称号。
エンパイアメルロ	帝国熔炉
ワインの原料等に使われる超高級な葡萄。《改行》噂では予約してから10年待ちとか？	用于葡萄酒原料等的超高级葡萄。传闻是预约后等了10年？
色鮮やかな絵の具。《改行》メイドのセンスが求められます。	色彩鲜明的颜料《换行》要求有女仆的感觉。
ドライ・ジン	干燥剂
バーラウンジで用いるお酒。《改行》すっきりとした、キレのある味。	酒吧休息室用的酒。《换行》清爽、干净利落的味道。
ウォッカ	伏特加
バーラウンジで用いるお酒。《改行》くれぐれも飲み過ぎには気を付けて。	酒吧休息室用的酒。《换行》请注意不要喝多了。
レモン	柠檬
バーラウンジで用いる果物。《改行》主にお酒の材料として使います。	酒吧间用的水果。《换行》主要作为酒的材料使用。
バーラウンジで用いるお酒。《改行》サトウキビが原料。	酒吧休息室用的酒。《换行》以甘蔗为原料。
ミント	薄荷
バーラウンジで用いる香草。《改行》飲み口が軽やかになります。	酒吧间使用的香草。《换行》入口变得轻快。
カルーア	卡鲁亚
バーラウンジで用いるお酒。《改行》女性ウケが非常に宜しいです。	酒吧休息室用的酒。《换行》非常受女性欢迎。
ライ・ウイスキー	黑麦威士忌酒。
バーラウンジで用いるお酒。《改行》素材の味がしっかりと映える。	酒吧休息室用的酒。《换行》素材的味道很好地映照出来。
チェリー	樱桃
バーラウンジで用いる果物。《改行》お酒の恋人として活躍します。	酒吧间用的水果。《换行》作为酒的恋人而活跃。
メロン・リキュール	甜瓜利口酒。
バーラウンジで用いるお酒。《改行》甘い甘い夜に華を添えます。	酒吧休息室用的酒。《换行》为甜美的夜晚锦上添花。
ナッツ	坚果
ちょっとお高めのナッツ。《改行》ちょっとしたおつまみ。されどしっかりとした味わい。	稍贵的坚果《换行》下酒菜。然而却有着浓郁的味道。
ジャーキー	运动衫
噛むと肉汁が溢れ出るジャーキー。《改行》じゃーきー大好きメイドのお墨付き。	咬的话肉汁就会溢出。《换行》超喜欢女仆的墨迹。
製本素材	装订材料。
本を作る為の資材。《改行》これさえあれば同人誌も作り放題。	做书用的材料。《换行》只要有这个同人志也可以随便做。
ノコギリ	锯齿
工作に用いる工具。《改行》職人の手による、切れ味抜群のノコギリ。	工作工具《换行》出自工匠之手，锋利度超群的锯齿。
ヘブンコットン	天国棉花
超高級なコットン。《改行》この綿で作られた枕で寝たものは、天国へ……	超高级棉花《换行》用这个棉花做的枕头睡的人去天堂……
万年筆	钢笔
滑りの良い万年筆。《改行》物語を紡ぎましょう。	滑溜的钢笔一起编织《换行》的故事吧。
アロマオイル	芳香精油
癒しのアロマオイル。《改行》安眠効果があります。	治愈精油。《换行》有安眠效果。
スクールサスペンダースカート	学校吊带裙
プチリボンスクールシューズ	小型缎带学校鞋
スクールねこソックス	短袜及长袜
スクールカッターシャツ	学校剪裁衬衫
バニーガール　首輪	兔女郎项圈
バニーガール　しっぽ	兔女郎尾巴
バニーガール　腕	兔女郎手臂
バニーガール　へっど	兔女郎
バニーガール　みずぎ	兔女郎水灵灵
バニーガール　しゅーず	兔女郎
バニーガール　すとっきんぐ	兔女郎好紧张
スクールサスペンダーセット	学校吊带套装
ネーブルバニーセット	香草套餐
フェミニンGジャンセット	女人味G罩衫
レースアップワンピースセット	蕾丝连衣裙套装
リボンセクシーワンピース水着セット	性感丝带连衣裙泳装套装
ピュアシームレスセット	纯无缝套装
フラワーアーチランジェリーセット	花式拱形内衣套装
スリーピングドロワーズセット	套管套
ハートチェーンアンクレット	心形链条安克雷特
ヴィンテージレースアンクレット	复古蕾丝无裂痕
ハートチャームレザーアンク	红桃革
ジュエル＆バタフライピアス	珠宝&蝴蝶耳环
バール＆ジュエル	宝石和宝石
ツインスター	双明星
チェリーヘアピン	樱桃发夹
プレーンシュシュ	平铺
タレリボン	蝴蝶结
レースタトゥーチョーカー	蕾丝纹身
シンプルリボンチョーカー	简单蝴蝶结
バタフライピアス	蝶泳耳环
シックフラワー	花椰菜
ラブリーハート	爱情之心
ハートダイヤリスト	心形钻石列表
バタフライブレスレット	蝴蝶手链
ラビアドロップ	拉比下降
スリーダイヤ	三钻
ピュアシームレスブラ	纯无缝内衣
ブライダルビスチェ	婚礼
フラワーアーチブラ	花拱形胸罩
スリーピングブラ	睡眠文胸
フェミカジュミニハット　帽子	菲米卡奇迷你帽子
フェミカジュリボンネックレス　エンジェメイドシリーズ	蝴蝶结项链天使女仆系列
フェミカジュサンダル	羽毛凉鞋
フェミカジュスカート	女人味的裙子
フェミカジュGジャン	女士们G酱
レースアップワンピース	蕾丝连衣裙
リボンバンドローヒールパンプス	缎带高跟鞋
ロープネクタイ	绳子领带
リボンセクシーワンピース水着	丝带性感连衣裙泳衣
シンプルマイクロビキニ　水着	简单的微比基尼泳衣
セクシースリングショット	性感丝袜
ピュアシームレスパンツ	纯无缝短裤
ブライダルショーツ	婚礼短裤
フラワーアーチショーツ	花拱形短裤
スリーピングドロワーズ	睡眠流体
センターエッジ　前髪	中边刘海
ウェーブフロート　前髪	波浪式刘海
ショートジャギー前髪	短刘海
ナチュラルアンバランスミディ前髪	自然不平衡的刘海
ショートウルフ　前髪	短刘海
サイドウェーブアップ　前髪	侧卷刘海
ナチュラルショートボブ前髪	自然短发刘海
ナチュラルセンターパート前髪	自然中心刘海
アシメロール　前髪	海鸥卷刘海
オーバーライドポニー　ポニー	马尾辫
ウェーブショート　後髪	波浪短发后发
ワイルドロング　後髪	狂野长发
ノーマルショートバック　後髪	普通短发后发
ツインムスビ　後髪	长发
ゴージャスロング	华丽的长发
サスペンダースカートの制服セット。《改行》機能的で動きやすく疲れにくい。《改行》若さを遺憾なく発揮できます。	吊带裙的制服套装。《换行》功能性易动，不易疲劳。《换行》可以充分发挥年轻。
おへそがセクシーなバニーセット。《改行》サービス精神旺盛なバニーさん。《改行》跳ねておへそもぴょんぴょんぴょん。	肚脐性感的兔女郎套装。《换行》服务精神旺盛的兔女郎。《换行》弹跳着肚脐也跳了起来。
フェミニンなGジャンのセット。《改行》軽やかで動きやすく、《改行》女性らしいシルエットが出せます。	女人味十足的G酱套装。《换行》轻快易动，能展现出女性特有的轮廓。
レースアップワンピースのセット。《改行》ゆったりした良い肌触りで、《改行》どんな女の子にもおすすめです。	蕾丝连衣裙的套装。《换行》触感舒适，适合任何女生。
セクシーワンピースの水着セット。《改行》オトナの余裕とお色気を発揮。《改行》ビーチの主役に抜擢です。	性感连衣裙的游泳衣套装。《换行》发挥大人的从容和性感。《换行》被选为海滩的主角。
やわらかシームレス下着セット。《改行》肌触りグンバツです。	柔软无缝内衣套装。《换行》触感超群。
花輪をテーマにした下着セット。《改行》咲き乱れます。	以花轮为主题的内衣套装。《换行》盛开。
おやすみの友、ドロワーズのセット。《改行》ふかもこしてます。	晚安的朋友，泥鳅的套餐。《换行》太深了。
サスペンダー付きのスカート。《改行》ねこちゃんが止めてます。	带有吊带的裙子。《换行》小猫停了下来。
リボンのついたスクールシューズ。《改行》丈夫で登下校に最適です。	带丝带的学校鞋。《换行》很结实，最适合上下学。
スクール向けのねこ模様つき靴下。《改行》にゃおん。	学校用的带猫花纹的袜子。《换行》喵。
スクール向けのカッターシャツ。《改行》小さなフリルでかわいさプラス。《改行》いつでもさわやかです。	学校用的裁纸衬衫。《换行》用小褶边增加可爱度。《换行》总是很清爽。
ネーブルバニーネクタイ	香草领带
おへそがセクシーなバニーのネクタイ。《改行》ちいさめのネクタイです。	肚脐性感的兔女郎领带。《换行》这是小编的领带。
ネーブルバニーテール	香草尾巴
おへそがセクシーなバニーのしっぽ。《改行》フサモコしてます。	肚脐是性感的兔女郎尾巴。《换行》很模糊。
ネーブルバニーカフス	香草咖啡
おへそがセクシーなバニーカフス。《改行》バニーさんといえばこれ。	肚脐性感的兔女郎咖啡。《换行》说到兔女郎就是这个。
ネーブルバニーイヤー	英国香草
おへそがセクシーなバニーイヤー。《改行》いわゆるうさみみ。	肚脐是性感的兔女郎。“换行”就是所谓的“みみみ”。
ネーブルバニースーツ	香草套装
おへそがセクシーなバニースーツ。《改行》露出度高めのバニーちゃんです。	肚脐性感的兔女郎服。《换行》是曝光度很高的兔女郎。
ネーブルバニーシューズ	香草鞋
おへそがセクシーなバニーの靴。《改行》兎の如く飛べそうです。	肚脐性感的兔女郎鞋。《换行》好像能像兔子一样飞翔。
ネーブルバニーストッキング	长筒袜
おへそがセクシーなバニーストッキング。《改行》オーウ、なんてセクシーなんだ。	肚脐性感的兔女郎长筒袜。《换行》欧，多么性感啊。
ハートが連なるアンクレット。《改行》ラブの鎖です。	心连心的Anklet。《换行》是爱情的锁链。
ヴィンテージレースアンクル	复古蕾丝圆环
美しさの象徴的アンクレット。《改行》オトナの美しさを更に引き立てます。	象征着美丽的古董。《换行》更能衬托成熟女性的美丽。
無骨な革のアンクレット。《改行》ただしラブがあります。	无骨皮革的裂痕。《换行》但是有爱情。
羽を休める蝶のへそピアス。《改行》蝶の様に美しく羽ばたけます。	能让翅膀休息的蝴蝶肚脐耳环。《换行》像蝴蝶一样美丽地振翅飞翔。
バールとジュエルのへそピアス。《改行》おへそキラキラファッションです。	伯尔和宝石的肚脐耳环。《换行》肚脐闪闪发光的时尚。
二つの星がくっついたヘアピン。《改行》評価は星二つ！	两颗星星粘在一起的发夹。《换行》评价是两颗星！
さくらんぼのヘアピン。《改行》口の中に入れちゃダメです。	樱桃发夹《换行》不能放在嘴里。
リボンのように髪に着けるシュシュ。《改行》ひらひらしてます。	发带一样的发圈。《换行》飘忽不定。
だらんと垂れたリボン。《改行》この垂れ具合が良いのです。	垂下来的缎带《换行》这个下垂的样子很好。
レースで出来たタトゥー風チョーカー。《改行》オトナの魅力を引き出せます。	用蕾丝做成的纹身风的剪刀。《换行》可以展现成熟女性的魅力。
シンプルなリボンのョーカー。《改行》シンプル、これで良いのです。	简单的丝带表演。“换行”很简单，这样就可以了。
蝶を模したピアス。《改行》夜に羽ばたく美しき蝶ですのよ。	模仿蝴蝶的耳环。《换行》这是一只在夜晚展翅的美丽蝴蝶。
シックな花のピアス。《改行》漂うオトナの色香。	雅致的花耳环。《换行》飘浮的成人色香。
バール型のピアス。《改行》きらきら宝石付きです。	巴尔式耳环《换行》附有闪闪发光的宝石。
ラブリーなハート型ピアス。《改行》なかなか大きなサイズです。	可爱的心形耳环。《换行》相当大的尺寸。
ハートとダイヤのリスト。《改行》煌びやかなダイヤが連なっています。	心形和钻石的清单。《换行》一片璀璨的钻石。
蝶のブレスレット。《改行》妖しく輝く姿は夜の蝶。	蝴蝶手镯《换行》妖娆的身姿是夜之蝶。
雫のようなピアス。《改行》二つの雫をどう扱うか、ご主人様次第でしょう。	像水滴一样的耳环。《换行》怎么处理两个雫，要看主人了吧。
ダイヤの連なるピアス。《改行》高級なメイドには高級なピアスを。	钻石耳环《换行》高级女仆要戴高级耳环。
やわらかシームレスブラ。《改行》繋ぎ目が気になりにくい。	柔软无缝内衣。很难在意“换行”的连接点。
結婚式などに用いるビスチェ。《改行》高級ドレスにも違和感なく着けれます。	用于结婚典礼等场合的bitchi。《换行》即使是高级礼服也不会有违和感。
花輪をテーマにしたブラ。《改行》やさしい花に包まれます。	以花轮为主题的胸罩。《换行》被温柔的花朵包围。
おやすみの友であるブラ。《改行》ふかもこしてて、心地良く休めそう。	晚安的朋友布拉。《换行》再深一点，可以让人舒舒服服地休息。
フェミカジュミニハット	菲米卡奇迷你帽
カジュアルに使えるミニハット。《改行》そこまでミニでもありません。	轻便的迷你帽子。《换行》也没有那么迷你。
フェミカジュリボンネックレス	蝴蝶结项链
日常的に使いやすいネックレス。《改行》大変カジュアルにご利用できます。	日常使用方便的项链。《换行》非常轻便。
日常的に使えそうなサンダル。《改行》お気軽カジュアル。	日常使用的凉鞋。《换行》轻松休闲。
フェミニンなスカート。《改行》おでかけにピッタリ。	有女人味的裙子。《换行》非常适合外出。
フェミカジュなGジャン。《改行》Gジャン派か、デニムジャケット派か。《改行》その実体は……同じである。	有女人味的G酱。《换行》是G夹克派还是牛仔夹克派？《换行》其实质是……相同
レースアップのワンピース。《改行》ゆったりゆとりのワンピースです。	蕾丝连衣裙《换行》宽松的连衣裙。
ローヒールなパンプス《改行》バンド部分がリボンになってます。	低跟高跟鞋“换行”带的部分是丝带。
ロープのネクタイ。《改行》とっさに何かに括り付けれます。	绳子领带《换行》一下子就被捆上了什么。
リボン付きのワンピースタイプの水着。《改行》可愛さと色気を備えてます。	带丝带的连衣裙类型的游泳衣。《换行》具备可爱和性感。
シンプルマイクロビキニ	简单的微比基尼
シンプルなマイクロビキニ。《改行》布地の少なさは折り紙付きです。	简单的微比基尼。《换行》布料少的话带有折纸。
弾けるボディに似合うイカした水着。《改行》布地を極限まで削ぎました。《改行》ビーチに居たらびっくりします。	适合弹的身体的墨鱼做了的游泳衣。《换行》将布料削到了极限。《换行》在海边的话会很吃惊。
やわらかシームレスパンツ。《改行》下着のラインがでにくいです。	柔软无缝短裤。《换行》内衣的线条很难突出。
結婚式などに用いるショーツ。《改行》上品だから、透けても安心です。	用于结婚典礼等场合的内裤。《换行》因为很高雅，即使透明也很安心。
花輪をテーマにしたショーツ。《改行》やさしい花の香りが広がります。	以花环为主题的短裤。《换行》温柔的花香扩散开来。
おやすみの友であるドロワーズ。《改行》もこふかもこふか。	晚安之友多萝华斯。《换行》和《入行》都很深奥。
センターエッジ	中心边缘
まとめた内側の髪が特徴的な前髪。《改行》厚みがあります。	刘海的特征是扎起来的内侧的头发。《换行》有厚度。
ウェーブフロート	波浪式地板
さざ波のような前髪。《改行》ゆったりした波に乗るようなイメージ。	涟漪般的刘海《换行》给人一种乘着悠闲浪涛的印象。
ショートジャギー	短爪牙
ぱっつんとギザギザが交互する前髪。《改行》ジャギってます。	齐刘海和锯齿交替的刘海。《换行》杂志。
ナチュラルアンバランスミディ	自然不平衡感
長かったり短かったりする前髪。《改行》自然派に近い形です。	又长又短的刘海。《换行》接近自然派。
ショートウルフ	短狼
短く流した前髪。《改行》狼との関連性は低いです。	剪得很短的刘海。《换行》和狼的关联性很低。
サイドウェーブアップ	侧卷
流れるように掻き上げた前髪。《改行》カッコイイ系です。	像流水一样卷起的刘海。《换行》很帅气。
ナチュラルショートボブ	自然短发
ショートなボブカット。《改行》なんとも自然です。	短发。《换行》真的很自然。
ナチュラルセンターパート	自然中心部分
自然な真ん中分けの前髪です。《改行》自然が一番です。	自然中间分开的刘海。《换行》自然是最好的。
アシメロール	海鸥卷
片側ロールな前髪。《改行》他は至ってシンプルです。	一侧卷着的刘海。《换行》等都非常简单。
オーバーライドポニー	超速马尾
重なり合うポニーテール。《改行》ふっさふさです。	重叠的马尾辫。《换行》不见了。
ウェーブショート	波形短发
二段になっている後髪。	两段头发
ワイルドロング	通配符
ただでは流れない後ろ髪。《改行》跳ねっかえりが凄いです。	只是不流的后面的头发。《换行》跳起来很厉害。
ノーマルショートバック	普通短背包
非常にノーマルでショートな後髪。《改行》これ以上ないくらいノーマルです。	非常普通的短发后发。《换行》正常到没有更多了。
ツインムスビ	双穆斯比
2つ結んだ後髪。《改行》1つでは物足りない貴方に。	梳了两个辫子《换行》对于一个还不够的你。
ふっくらゴージャスなロング。《改行》もふもふできそうです。	蓬松华丽的长发。《换行》似乎也很模糊。
入手アイテム	入手项目
必要性経験	必要性经验
設定経験人数	设定经验人数
$淫欲が(?<val>\d+)以上	淫欲在${val}以上
$変態が(?<val>\d+)以上	变态在${val}以上
補正パラメータ(%)	校正参数（%）
元気な笑顔	充满活力的笑容
お世話+10	照顾+10
朗らかな魅力	开朗的魅力
母の味	母亲的味道
料亭の味	日本式酒家的味道
優しい声	温柔的声音
踊り子	舞女
神楽舞	神乐舞
大人びた魅力	成熟的魅力
クール、ツンデレ、ヤンデレ、お姉ちゃん共通	冷漠、傲娇、病娇、姐姐通用
魔性の魅力	魔性的魅力
凜とした	凛然
恥ずかしがり屋	害羞的人
専属シェフ	专属厨师
三ツ星シェフ	三星厨师
スイートボイス	甜蜜的声音
エンパイアボイス	帝国俱乐部之声
ヒートダンサー	热舞演员
クイーンダンサー	女王舞者
妖艶な魅力	妖艳的魅力
とことん尽くす	拼到底
美食好き	爱吃美食的人
料理研究家	料理研究家
魅惑の歌声	魅惑的歌声
セイレーン	塞壬
クールステップ	傲娇
ミューズ	静音
盲目的	盲目
好みを把握	把握喜好
撫子料理	抚子料理
大和魂	大和魂
月光の歌声	月光的歌声
和のステップ	和的步骤
冥土の踊り子	黄泉的舞女
母性的	母性的
田舎料理	乡间菜
愛情たっぷり	充满爱情
癒しの歌声	治愈的歌声
聖母の安らぎ	圣母的安宁
セクシーステップ	性感步骤
エロチックダンス	色情舞蹈
無防備	无防备
小悪魔	小恶魔
落ち着きがある	沉着
礼儀正しい	有礼貌
ハニートラップ	蜂蜜陷阱
傾国の美女	倾国美女
サドシェフ	厨师长
ド・サドシェフ	厨师长
月天の歌姫	月天的歌姬
鮮烈天使	强烈天使
桜華の踊り子	樱花的舞女
花鳥風月	花鸟风月
甘えん坊	爱撒娇的人
お姫様の素質	公主的素质
仔犬系	小狗系
ピュアガール	纯洁的女孩
料理小町	料理小町
料理職人	厨师
のど自慢	夸耀家乡
エンジェルボイス	天使之声
天性のリズム感	天性的韵律感
フェアリー	妖精
むっつり	闷骚
エッチな願望	色情的愿望
委員長	委员长
愛が重い	爱很重
精緻なシェフ	精致的厨师
美食シェフ	美食厨师
癒しの音色	治愈的音色
クリアボイス	清音
フルコンボマニア	全组合狂热者
お姉さん	姐姐
アダルティ	阿达鲁蒂
乙女な一面	少女的一面
乙女の夢	少女的梦想
シェフ	主厨
ロイヤルシェフ	皇家厨师
シンガー	歌手
ディーヴァ	迪瓦
ビートセンス	节奏感
エンパイアダンサー	帝国舞者
無防備乙女	无防备少女
窓辺の少女	窗边的少女
司書さん	司书先生
深窓の麗人	深闺的美人
ダイヤの原石	钻石的原石
読書小町	读书小镇
歩く献立表	步行食谱
握り寿司の名人	手握寿司的名人
お風呂場歌手	浴室歌手
歌行燈	歌灯
創作ダンス趣味	创作舞蹈爱好
鹿踊りのはじまり	鹿舞的开始
天性の小悪魔	天生的小恶魔
ニンフェット	根除
玉の輿	金阁
社長令嬢	社长千金
無邪気	天真无邪
アイドル	空闲
モテ料理	受欢迎的菜
胃袋掴み	抓住男人的胃
天使のささやき	天使的耳语
悪魔のささやき	恶魔的耳语
ゆるふわダンサー	轻飘飘的舞蹈家
セクシーダンサー	性感舞者
アクティブ料理人	主动厨师
アグレッシブ料理人	积极主动的厨师
カラオケっ子	卡拉OK迷
カラオケマスター	卡拉OK大师
エネルギッシュダンス	精力充沛的舞蹈
ブレイクダンサー	爆红舞者
大人のお姉さん	成熟的姐姐
憧れの人	憧憬的人
高貴なあの人	高贵的他
高嶺の花	可望而不可及的花
可愛いお姉さん	可爱的姐姐
天然乙女	天然少女
あの時の味	那时的味
料理教室講師	料理教室讲师
合唱部OG	合唱部OG
ウィスパーボイス	威斯帕语音
チアダンサー	啦啦队舞者
社交界の女王	社交界的女王
大人の色気	成人的魅力
隙だらけ	漏洞多得很
メイド長	女 仆 长
理想のメイド秘書	理想的女仆秘书
アナウンサー	播音员
お祭り好き	喜欢祭典
小料理屋の女将	小饭馆的老板娘
料亭の技術	日本式酒家的技术
カラオケ常連	卡拉OK常客
ボイストレーナー	语音训练师
創作ダンサー	创作舞者
実はアイドル志望？	实际上是想当偶像吗？
無意識な誘惑	无意识的诱惑
意識的無防備	意识上的无防备
不安定な魅力	不安定的魅力
箱入りお嬢様	千金小姐
庇護欲促進	促进庇护欲
小動物系女子	小动物系女子
見よう見まねのママの味	模仿妈妈的味道
愛妹弁当	爱妹便当
家族カラオケ	家庭卡拉OK
妹はアイドル志望	妹妹想当偶像
スポーティうさぎ	轻便兔子
テーマパークダンサー	主题公园舞者
無自覚な魅力	不自觉的魅力
潔癖症	洁癖
風紀委員長	风纪委员长
規律の鬼	纪律之鬼
強い独占欲	强烈的独占欲
豊富な知識	丰富的知识
完璧な計量	完美的度量
器用貧乏	器量贫乏
努力の天才	努力的天才
