イベントをスキップする	跳过事件
俺のこと愛してる？	你爱我吗？
これからもずっと愛してるよ	今后我也会一直爱你
すごくエロいよ	好性感啊
出されたものはなんでも食べる	端出来的东西什么都吃
好き嫌いが多いかも	可能喜欢和讨厌很多
胃に入ればなんでも同じ	进了胃什么都一样
海賊の映画	海盗电影
アメコミの映画	美漫电影
アニメの劇場版	动画剧场版
飛車で生意気なお嬢様っぽいけど、一生懸命な子かな	虽然像是个飞车狂妄的大小姐，但是是个拼命努力的孩子吧
不愛想で警戒心が強いけど、自分の芯を持っている子かな	虽然不讨人喜欢，警戒心很强，但是是个有自己内心的孩子吧
小動物みたいで、一緒にいると癒やされるような妹系の子かな	像小动物一样，在一起的话会被治愈的妹妹系的孩子吧
怖いからやらない	因为害怕所以不做
自分のクラブでだけならやる	只在自己的俱乐部里做的话就做
仕事をサボってでも行く	即使旷工也要去
花屋さん	花店老板
実業家	实业家
悪の女幹部	坏女人干部
筋トレとかどう？	肌肉锻炼怎么样？
ゲームとかどう？	玩游戏怎么样？
二人っきりで運動するのはどう？	两个人单独运动怎么样？
旅行に出かける	出去旅行
部屋を片付ける	收拾房间
一日中寝てる	睡了一整天
いい結果だけ信じる	只相信好的结果
信じない	不相信
信じすぎる	过于相信
他人の顔色を伺いがち	爱看别人的脸色
自分本位になりがち	容易以自我为中心
そもそも人と会わない	本来就不和人见面
涼しげな高原	凉爽的高原
山奥の洋館	深山里的洋房
電気街	电器街
これからもずっと一緒にいてね	今后也要一直在一起哦
愛してるよ	我爱你
俺のこと好きでしょ？	你喜欢我吧？
エッチなことがしたい	想做色情的事情
朝まで一緒にいたい	想一直在一起直到早上
明日の為に早く寝たい	为了明天想早点睡
イギリスのビッグベン	英国大本钟
オーストラリアのウルル	澳大利亚乌尔
アメリカのハイウェイ６１	美国公路61
ドリル・マクラ	钻头枕头
ペスト館殺人事件	鼠疫馆杀人事件
虚空への供物	献给虚空的供品
他のエンパイアクラブのサイト	网站标题
メイド志望の女の子をチェック	检查想成为女仆的女孩
[HF]のブログ	博客大巴
自分の身体	自己的身体
プラチナの指輪	白金戒指
電気マッサージ器	电动按摩器
むしろ自分も束縛したい	宁愿束缚自己
節度を守ってもらえれば……	如果能遵守分寸的话……
重たい女性はちょっと怖い	沉重的女性有点可怕
テディベアミュージアム	泰迪熊博物馆
図書館	图书馆
競馬場	赛马场
いつかは結婚したい	总有一天想结婚
結婚しなくても大丈夫	不结婚也没关系
浮気してもいいなら……	如果可以出轨的话……
早く夜伽がしたくて……！	想早点做个夜袭……！
二人っきりでいるとドキドキして……	只有两个人在一起的话就会心跳不已……
ここのところ疲れてて……	最近很累……
言葉で表した	用语言表达了
態度で表した	用态度表示
やっぱり恥ずかしい	果然很害羞
そんなことはさせない	我不让你做那种事
離れることなんて絶対にあり得ない	绝对不可能离开
悲しくて何も出来なくなる	悲伤得什么都做不了
どうしても二回目を読むのは面倒で……	无论如何读第二遍都很麻烦……
楽しみ方がいかにもって感じだね	享受的方法是多么的有感觉啊
新しい本読んだほうがよくない？	读新书不好吗？
オーケストラが好きだよ	我喜欢管弦乐
普通にＪポップとか聴いてるなぁ	普通地听J POP什么的
ケチャ……	小气鬼……
ドラマとか映画だね	电视剧和电影啊
バラエティ番組が多い気がする	感觉综艺节目很多
国会中継だ	是国会转播
俺も水泳かな	我也去游泳吧
無難に野球とかサッカーとか	棒球、足球等都无可非议
エクストリームアイロンだね	熨斗啊
犬とか猫は好きだよ	我喜欢狗和猫
ウサギやハムスター、かな	兔子和仓鼠吧
ヒクイドリ、やつはヤバイ	雏鸟，那家伙糟了
好きな科目は特になかったかな	没有特别喜欢的科目吧
理科とか物理、とか？	理科、物理之类的？
保健体育、一択でしょ	保健体育，是一个选择吧
冬はいいと思う	我觉得冬天很好
春がいいんじゃないかな	春天不是很好吗
やっぱり夏	果然夏天
赤身のステーキとかいいよね	瘦肉牛排什么的很好呢
ハンバーグとかオムライス	汉堡牛肉饼和蛋包饭
自作のカレー	自己做的咖喱
もちろんしたいと思ってるよ	当然想做
特に興味ないかなぁ	没什么特别的兴趣吧
今まさに[HF]に恋してるさ！	现在正和[HF]谈恋爱呢！
俺も出かけたりしてるよ	我也出门了哦
ゲームしたりマンガ読んだり、かな	玩游戏、看漫画什么的
ＳＭクラブに行ってるよ	我在去SM俱乐部哦
俺も秘密の部屋、作りたいな	我也想建造秘密的房间啊
老後に備えて貯金	存款以备晚年
金の延べ棒を買う	买金条
一度くらいはユーロ圏に行ってみたいね	想去一次欧洲圈呢
国内旅行でいいよ	国内旅行也可以哦
時間旅行でしょ、やっぱり	时间旅行吧，果然
[HF]に褒めてもらえたら嬉しい	如果[HF]夸奖我的话我会很开心的
普段通りでいいかな	和平时一样可以吗
ご主人様っ！	主人！
スポーツ選手に憧れてたよ	我很憧憬运动员
公務員になりたかった	想成为公务员
教師かな	老师吗？
少し弱腰なところがあるかもね	也许有点软弱呢
良くも悪くも普通、かな	无论好坏都很普通吧
完璧な性格かな	完美的性格
ちょっとはこの世に残りたいって思うな	不要想留在这个世界上
さっさとこの世はおさらばだね	赶快告别这个世界吧
俺は死なないよ	我不会死的
寿司とかちょっと憧れるよね	有点憧憬寿司呢
料理、苦手なんだ	我不擅长做饭
そりゃ女体盛りに決まってる	那一定是女体最盛的时期
激しく[HF]に責め立てて欲しい	希望激烈地谴责[HF]
ガンガン[HF]を責め立てたい	想谴责枪炮[HF]
ハーレムプレイがいい	后宫游戏好
ただ聞いてみたくなって	只是想问问
ほんとにごめんなさい	真的很抱歉
少しくらい聞いてもいいじゃないか	可以问一下吗？
あるに決まってるだろ	肯定有吧
先のことはわからないよ	将来的事我不知道
俺の愛は汲めども尽きぬ泉なんだ	我的爱是取之不尽的泉水
もちろん毎日したいよ	当然想每天做
一週間に２～３回くらい？	一周2～3次左右？
一ヶ月に一回がベストかな	一个月一次最好吧
確かにそうかもしれない	也许确实是那样
ご主人様じゃなくて恋人だから……	不是主人而是恋人……
いいや、俺のほうが向いてる	不，我比较适合
ソフトな言葉責めでお願いします……	请用温柔的语言责备我……
普通にエッチする方がいいなぁ	普通的H比较好啊
真空パックプレイでお願いします！	请使用真空包装游戏！
土下座はしないけど、誠意は伝えたい	虽然不下跪，但还是想传达诚意
そこまで言うならいいや	说到那里就好了
土下座くらいでいいの？	土下座就可以了吗？
格闘技の観戦とか面白そう	看格斗比赛什么的很有趣
映画館とかテーマパークとか？	电影院啦主题公园啦？
神社仏閣を巡ってみよう	试着参观神社佛阁吧
寂しかったよ	好寂寞啊
他にメイドもいたから大丈夫	还有别的女仆，没关系
ヒットする（もう１枚引く）	命中（再抽一张）
スタンドする（手持ちのカードで勝負する）	看台（用手中的卡片决胜）
スタンドして勝つ！	站起来取胜！
[HF]にお願いしようかな	拜托[HF]吧
[HF1]、最高のカクテルを頼む	[HF] 1、点最好的鸡尾酒
[HF2]の腕を見せてもらうよ	让我看看[HF] 2的手臂
こしあんが好き	喜欢豆沙馅
つぶあんが好き	喜欢红豆馅
「あんこ」より「ま○こ」が好き	比起“红豆”更喜欢“ま○こ”
ブリーフだよ	我是公鸡
トランクスだね	是小号吧
女性の下着です……	女性内衣……
もう充分喜んでくれてると思うよ	我想你已经很高兴了
お尻の穴をもっとイジってあげるといいよ	再欺负一下屁股上的洞就好了
やっぱりゴムなしで挿入だね	果然没有橡胶就插入了呢
バッタとかなら……	如果是蝗虫的话……
ゴキブリもいける！	蟑螂也可以！
蜂の子とかイナゴとかなら……	如果是蜜蜂或者蝗虫的话……
お色気系の萌えアニメ	性感系的萌动画
シリアスなバトル系アニメ	严肃的战斗系动画
シュールなギャグアニメ	超现实的搞笑动画
無口で読書好きで、でもちゃんと話には乗ってくれる優しい子かな	是个沉默寡言喜欢读书，但是能好好聊的温柔的孩子吧
天然のサディスティックで、ちょっと小悪魔なところもある子かな	是天然的Sadistic，也有稍微小恶魔的地方的孩子吧
大人でエロくて、おしとやかなお姉さんみたいな子かな	像大人又好色，文静的姐姐一样的孩子吧
当選金の半分を使って宝くじを買う	花一半中奖钱买彩票
当選金の何割かを元手にして本屋を開店	以当选金的几成为本钱开了书店
うまい飯をしこたま食い続ける	连续吃很多好吃的饭
ホラーかな	恐怖片吧
恋愛小説かな	恋爱小说吧
官能小説かな	官能小说吗？
キャンプとかどう？	野营怎么样？
サイクリングとかどう？	自行车旅行怎么样？
登山とかどう？	登山什么的怎么样？
本格的な料理を作ってみるとか	试着做真正的料理什么的
ストレッチをしてみるとか	做做伸展运动之类的
散歩に出かけてみるとか	出去散步什么的
献血の時に大変じゃない？	献血的时候不是很辛苦吗？
事故とか病気の時に大変じゃない？	事故或者生病的时候不是很严重吗？
何型にもなれるってこと？	能成为几型？
何気ない言葉とか相手の情報を覚えておく	记住不经意的话和对方的信息
下ネタをさりげなく会話に織り交ぜる	不经意地把黄段子穿插在对话中
気をつけてることはない、自然体	没有需要注意的，自然体
記憶を失って路上で倒れたり……	失去记忆倒在路上……
気付けば朝で、隣には裸の女性が……	回过神来发现是早上，旁边是个光着身子的女性……
知らない人に喧嘩を売ってボッコボコに……	和不认识的人吵了架，叽叽喳喳……
俺のことが好きってこと？	你喜欢我吗？
俺と同じ理由？	和我同样的理由？
俺とエッチしたいってこと？	你想和我做爱吗？
もちろんエッチなことがしたい	当然想做色情的事情
映画館のカップルシートを利用してみたい	想试着利用电影院的情侣座位
旅行に行きたい	想去旅行
やっぱアメリカかな	果然是美国啊
やっぱイギリスかな	果然是英国啊
やっぱコスタリカかな	果然是哥斯达黎加啊
ゴッドアンクル	神之启示
メグミング	梅格
カフェインオーバー！	超过咖啡因！
こうやって一緒に話してるだけで面白いよ	像这样一起聊天就很有趣了
小説に関する話をする	讲有关小说的故事
自分が最近したミス	自己最近犯的错误
君が欲しい	想要你
メイドが欲しい	想要女仆
あらゆるものが欲しい	想要所有的东西
ただ聞いてみたかっただけだよ	只是想问问而已
実は、小説の登場人物に惹かれて……	实际上，我被小说中的登场人物所吸引……
そうだったらどうする？	那样的话怎么办？
遊園地に行こう	去游乐园吧
ショッピングモールを回ろう	逛购物中心吧
博物館めぐりをしよう	参观博物馆吧
俺も結婚したいよ	我也想结婚
俺はまだ結婚はいいかな	我还可以结婚吗？
実際、どっちだと思う？	实际上，你觉得是哪一个？
ここは直球勝負、セックスしたいと言う	这里是直球比赛，说想做爱
思い切ってお尻を舐めて欲しいと言う	说希望你下定决心舔屁股
特別なご奉仕をして欲しい、と含みを持たせて言う？	说希望他做特别的服务，让他有内涵吗？
恥ずかしがってるところも好きだよ、とからかう	也喜欢害羞的地方
そっとしておく	还是别问好了
いっそ自分も恥ずかしがってみる	干脆自己也害羞一下
クサい言葉を言ってみる	说些下流话
自分のどこを愛しているのか聞いてみる	问问你爱自己的哪里
エロいポーズを要求してみる	试着要求性感的姿势
松下淳平に対策をする。	对松下淳平做对策。
松下淳平に対策をしない。	对松下淳平没有对策。
ベジタリアン？	素食主义者？
実は昆虫食が好き？	你实际上喜欢吃昆虫吗？
そういえば、俺が好きなのは肉だよ	这么说来，我喜欢的是肉
DVDだよ	是DVD哦
BDだよ	是BD哦
実はVHSなんだ	其实是VHS
未来ある若者に投資する	投资未来的年轻人
老後のために備蓄する	为晚年储备
ギャンブルで増やす	通过赌博增加
戦隊物の怪人かな	是战队的怪人吧
ハーレムの主かな	是后宫的主人吗？
ヤドカリ……かな	寄居蟹……假名
トマトかな	西红柿吗？
メロンかな	甜瓜吧
わさびかな	芥末吗？
スポーツジムに通ってみる	去健身房看看
丸一日映画館で映画鑑賞	整一天在电影院看电影
ムンクの「叫び」は叫んでない	蒙克的“喊叫”没有叫出来
うなぎの旬は夏じゃなくて冬	鳗鱼的时令不是夏天而是冬天
男は下痢、女は便秘になりやすい	男性容易腹泻，女性容易便秘
エッチになるから	因为会变成H
特に興味がない	没什么兴趣
買うお金が無い	没钱买
こっそりキスする	偷偷地接吻
こっそり落書きする	悄悄地涂鸦
がっつりくすぐる	突然跳起来
エッチしたい	想做爱
デートしたい	想约会
結婚したい	想结婚
告白は好き同士の確認作業	告白是确认喜欢的人的工作
恋人だからじゃなく、好きだから一緒にいる	不是因为是恋人，而是因为喜欢所以在一起
浮気は怖い	见异思迁很可怕
やっぱイタリアかな	果然是意大利啊
やっぱ南極かな	果然是南极啊
添い寝してあげるよ	陪你睡吧
今日は寝かせないよ	今天睡不着哦
実は昔、俺も幽霊を見て……	其实以前，我也看到过幽灵……
歩いてる犬が棒にぶつかって……	走着的狗撞到了棍子上……
食事中に箸が転がって……	吃饭的时候筷子掉了……
寝てたらゴキブリが……	睡觉的时候发现蟑螂……
仕事を頑張っている	工作很努力
勉強を頑張っている	努力学习
エッチを頑張っている	努力做爱
手をつないで歩く	牵着手走
キスをする	亲吻
エッチしようがなにしようがＯＫ	不管怎么做爱都OK
遊園地→アミューズメントパーク→ウォーターランド	游乐园→娱乐公园→水上乐园
ショッピング→カフェ→映画館	购物→咖啡店→电影院
水族館→ショッピング→レストラン	水族馆→购物→餐厅
必ず一緒に寝る	一定要一起睡
必ず一人の時間を作る	一定要腾出一个人的时间
お互いへの感謝を忘れない	不要忘记对彼此的感谢
変えるものがない	无可改变
食事の内容	饮食内容
ペットを飼う	养宠物
化粧品	化妆品
服	衣服
車	汽车
取引を中止して別の業者に依頼する	中止交易委托别的公司
気のせいだと思って見過ごす	认为是心理作用而忽略
煮干しラーメン	煮干拉面
家系ラーメン	家谱拉面
ミドリムシラーメン	中高级拉面
俺も最近はそんな感じだよ	我最近也有这种感觉
頑張って毎週見てるよ	我会努力每周看的
最近はネットの配信サイトで見るよ	最近在网上的网站上看到了哦
無口で静かだけど、ちゃんと話には乗ってくれる優しい子かな	虽然沉默寡言很安静，但是会好好和我说话的温柔的孩子吧
現金一括で家を買う	一揽子现金买房子
世界一周旅行に行く	去环游世界
札束を燃やして足元を明るく照らす	烧一捆钞票照亮脚下
普通の会社員かな	是普通的公司职员吧
ＡＶ男優かな	AV男演员吧
ニートかな	啃老族吗？
アウトドアな趣味を提案する	提议搞户外活动
インドアな趣味を提案する	提出室内兴趣
あえて自分も寝るのが大好きだと同調する	敢于附和自己也很喜欢睡觉
有酸素運動や筋トレをする	进行有氧运动和肌肉锻炼
昼から酒を飲んでだらける	从中午开始喝酒喝得酩酊大醉
飯も食わずにひたすら寝続ける	连饭也不吃只顾睡觉
俺は今日の運勢最悪だったよ	我今天运气很差哦
気にするだけで運勢は変わるらしいよ	只是在意运气就会改变哦
俺、実は「エンパイアクラブの父」って呼ばれてるんだ	我其实被叫做“帝国俱乐部之父”
そういうのが一番興奮する	那样最令人兴奋
ちょっと引くかも	可能会抽一点
女であればなんでもＯＫ	只要是女人什么都可以
ワインを一樽飲み干すくらいの酒豪だよ	酒豪能喝下一桶红酒
瓶ビールを一本飲み干すくらいの酒豪だよ	能喝一瓶啤酒的酒豪
日本酒を一合飲み干すくらいの酒豪だよ	能把日本酒一饮而尽的酒豪
本当はエッチなことがしたいと正直に言う	说真的想做色情的事情
引き続きゲームの話をしてみる	继续谈游戏的话题
実は余命いくばくもないという突拍子もない嘘をつく	说了实际上余生不久的不着边际的谎言
二人で暮らしたい	想两个人生活
共通の趣味を持ちたい	想拥有共同的爱好
常識が疑われるようなプレイがしたい	想玩常识被怀疑的游戏
オーストラリア	澳大利亚
インド	印度
モロッコ	摩洛哥
ド派手なアメコミ映画が観たい	想看华丽的美漫电影
しっとりとしたフランス映画が観たい	想看宁静的法国电影
Ｂ級ホラー映画以外はありえない	只有B级恐怖电影
ラブコメ	爱情喜剧
アクション	动作
ホラー	恐怖
映画館のチケット	电影院的票
お揃いのマグカップ	一起的马克杯
高級スピーカー	高级扬声器
全く嫉妬しないかもしれない	也许完全不嫉妒
ものすごく嫉妬するかもしれない	可能会非常嫉妒
何もできないかもしれない	也许什么都做不了
ちょっと冒険、洞窟探検ツアー	稍微冒险一下，洞窟探险旅行
ここは定番、遊園地	这里是固定的游乐园
逆を攻めよう、自宅デート	反过来进攻吧，在家约会
今から計画を立てようか	现在开始制定计划吧
結婚したら二人で暮らせるね	结婚后两个人就能生活了
今はまだ結婚できないかもね	现在还不能结婚吧
先に好きだと伝える	先告诉你我喜欢你
ちゃんと謝って許してもらう	好好道歉，得到原谅
さらにからかってみる	进一步调侃一下
これからもよろしくね	今后也请多关照
お酒美味しいね	酒很好喝啊
（恥ずかしくて何も言えない）	（害羞得什么都说不出来）
愛してるよと素直に言う	坦率地说我爱你
お酒美味しいなあと誤魔化す	误以为酒很好喝
ろれつの回らない様子であいひへるよと言う	冷冰冰地说
やっぱり基本の豆腐とわかめ	果然基本的豆腐和裙带菜
具のない素味噌汁	没有配菜的味增汤
入れられるものはなんでも入れる	能装的东西都放进去
青春物のアニメ映画	青春题材的动画电影
ド派手なアクションアニメ映画	华丽的动作动画电影
有名ロボットアニメの映画	有名的机器人动画电影
普段はダメだけどいざという時に強いのは？	平时不行，但关键时刻强的是？
なら、自分はまさにぴったりだね	这样的话，自己就正好了呢
ばぶっ、ばぶばぶばぶー	笨蛋，笨蛋
パーッと盛大なパーティーをする	举行一个盛大的宴会
大きな豪邸を買う	买大豪宅
ハーレム王になってやる！	我要成为后宫王！
得意な歌を歌ってみて欲しいな	希望你唱一首拿手的歌
アイドルっぽいポーズをして見て	试着摆出偶像的姿势
フリフリの衣装を着てみてほしい	请试着穿一下褶边的衣服
お酒とスポーツドリンクは一緒に飲んでいい	酒和运动饮料可以一起喝
パンダは笹を食べるけど、実は肉食	熊猫吃竹子，其实是肉食
サンドイッチはサンドイッチ伯爵が作ったんだよ	三明治是三明治伯爵做的
混浴のある温泉へ旅行に行こう	去有混浴的温泉旅行吧
お風呂で温泉の素を使うのはどうかな？	洗澡的时候使用温泉的元素怎么样？
なんだか、若々しさがあんまり……	总觉得，太年轻了……
どっちかというと意地悪に見える	总的说来似乎很坏
おおらかに見えるかも	也许看起来很大方
頑固そうにも見えるな	也看得出很顽固的样子
意外と褒められたりするのに弱いんじゃ	意外的是不擅长被夸奖
考えたけどやっぱり弱点はないかな	我想了一下，果然还是没有弱点吧
年齢が……	年龄……
お酒はやめて水を頼む	戒酒求水
あえて普通のカクテルを頼む	硬要点普通的鸡尾酒
アルコール度数の高いお酒を頼む	点度数高的酒
そのまま手を握って愛を囁く	就这样握着手细语爱情
そのまま抱きついてキスを迫る	就那样紧紧抱住逼吻
思いっきり土下座をする勢いで頭を下げる	以断然下跪的气势低头
もちろん、すぐに告白する	当然，马上告白
いい夢だったなーと思って普段通りに戻る	想着这是个好梦，就和平时一样回去了
もう一回見ようと思って二度寝する	想再看一次就睡两次
メイドの本場だから？	因为是女仆的发源地？
見たいものがたくさんあるよね	有很多想看的东西吧
そんなにうなぎゼリーを食べたいんだ……	我那么想吃鳗鱼果冻……
海外のアクション映画	国外动作片
話題の恋愛映画	热门恋爱电影
新作のサメ映画	新作品的鲨鱼电影
フクロウカフェとかどうかな？	猫头鹰咖啡店怎么样？
ここは定番の猫カフェ	这里是经典的猫咖啡店
爬虫類カフェにしてみよう	试着去爬虫类咖啡店吧
可愛いから見ているだけでも飽きない	因为可爱，光看也不会腻
誰よりも頼りになるからね	我比谁都依赖你
いつもいい反応をしてくれるから	总是有很好的反应
その前に、他に好きな人なんてできない	在那之前，我不能做其他喜欢的人
過労で倒れる	因疲劳过度而倒下
それならハーレムセックスする	那样的话就进行后宫性生活
映画館	电影院
遊園地	游乐园
一日中ラブホテル	情侣旅馆
派手な西洋風の挙式	华丽的西洋式婚礼
落ち着いた和風の挙式	和风平和的婚礼
挙式っているかな？	有举行婚礼吗？
なんだか夫婦みたいだね	总觉得像夫妇呢
飲んでいる姿も魅力的だね	喝的样子也很有魅力呢
年上の大人って感じがする	感觉像是年长的大人
バーでの大人っぽいキスシーン	酒吧的成人接吻场景
恋愛映画のベッドシーン	恋爱电影的床戏
バカップルによるイチャイチャシーン	笨蛋情侣的亲热场面
見つめて愛を囁く	凝视着细语着爱
褒めてみる	表扬一下
お酒をおかわり	再来一杯酒
だ、誰かと付き合ってたとかとか！？	是啊，和谁交往过之类的！？
エマさんと付き合ってたとか！？	和艾玛交往过吗！？
叔父さんと付き合ってたとか！？	和叔叔交往过吗？
……やっぱ水を飲ませようかな。	……还是让他喝水吧。
愚痴らせる	使发牢骚
すっぽんぽんになーれ！	变成甲鱼！
長谷川くるみ	长谷川核桃
ケルチャック・ナルチェック！	开尔查克·纳尔格！
ヒポポタマスよしえ	小鸡鸡
全部断っておいて	请全部拒绝
メイド秘書がそれで幸せならいいんじゃない？	如果女仆秘书那样幸福就好了吧？
この……金　餅男（かね　もちお）さんとかいいんじゃない？	这个……金饼男不是很好吗？
いくつってほら！　す、スリーサイズの事だよ！！！！	你看有多少！三码的事！！！
自分の想定よりもかなり若く伝える	传达比自己预想的要年轻很多
アラ…………フォー…………？	阿拉……米粉……？
もちろん好きだよ	当然喜欢啦
最近は油っこいものが苦手で……	最近不擅长吃油腻的东西……
唐揚げしか食べないよ	只吃炸鸡块
ヒーローものを観てるよ	正在看英雄的东西哦
ラノベのアニメ化作品を観てるよ	正在看轻小说的动画化作品哦
おねショタは最高	阿宅是最棒的
俺も優しいよと言ってみる	我也试着说我很温柔
ツンデレ系男子を演じてみる	试着扮演傲娇系男子
俺も優しい人が好きだなと言ってみる	我也试着说我喜欢温柔的人
１万円当たったことあるよ	中过一万日元
３００円当たったことあるよ	中过三百日元
１０万円当たったことあるよ	中过十万日元
実は俺も工場で働いてたことがあるんだ	其实我也在工厂工作过
クリエイティブな仕事に興味はない？	对有创造性的工作没有兴趣？
エンパイアクラブにもモンスターお客様いるよ	帝国俱乐部里也有怪物客人哦
どんな人と話してるの？	和什么样的人说话？
どれくらい歩いてるの？	你走了多久？
俺も一緒についていっていい？	我也可以跟你一起去吗？
アミューズメント施設	娱乐设施
ゲームセンター	游戏中心
卜占は？	占卜是？
占星術は？	占星术是？
アニメのオープニング曲をおすすめする	推荐动画的片头曲
洋楽のロックをおすすめする	推荐西洋音乐的摇滚乐
メタルの良さを力説する	强调金属的优点
大好きだよ	最喜欢你了
付き合いがあるから仕方なく……	因为有交往所以没办法……
もうお酒がないと生きていけなくて……	没有酒就活不下去了……
協力型アクションゲーム	合作型动作游戏
格闘ゲーム	格斗游戏
エッチなゲーム	色情游戏
俺もいじめられてみたいな	我也想被欺负啊
俺はいじめたいな	我想欺负你啊
誰かがいじめられてる所を見たいな	我想看谁被欺负的地方
エジプト	埃及
アラスカ	阿拉斯加
マレーシア	马来西亚
トカゲ	蜥蜴
犬	狗
亀	乌龟
お詫びになんでもするよ	为了道歉什么都做
ずっと側にいるよ	一直在你身边
絶対に裏切らないよ	绝对不会背叛你的
遊園地→レストラン→ホテル	游乐园→餐厅→酒店
動物園→水族館→ペットショップ	动物园→水族馆→宠物店
家でゲーム→映画→ゲーム	在家玩游戏→电影→游戏
じゃあ、その分後で好きにしていい？	那么，那之后可以喜欢吗？
せめて口で……	至少用嘴……
実はムラムラしてなかったんだ	其实并没有动摇
唐突にキスされるというサプライズ	突然被亲吻的惊喜
嫌われていると思ったら好かれていたというサプライズ	本以为被讨厌了，却被喜欢的惊喜
告白が罰ゲームだったというサプライズ	告白是惩罚游戏的惊喜
やっぱりお兄ちゃんのままがいい	还是哥哥的样子好
ご主人様がいい	主人好
ブタがいい	猪好
後でね、と含みを持たせる	让他带着“一会儿见”的含意
好きだよとささやく	小声说喜欢你
すき焼きだよ、と寒いボケをかます	装着冷笑话说“这是日式牛肉火锅哦”
俺も推理モノかな	我也是推理类的吧
歴史小説とか好きだよ	喜欢历史小说什么的
官能小説が一番	官能小说最好
なら、今度一緒に見に行こう	那下次一起去看吧
家でのんびり見るのもいいよね	在家悠闲地看也不错呢
大画面でエッチな映画とか見たいな	想在大画面上看色情电影啊
俺もスポーツ番組かな	我也是体育节目吧
通販番組とか見ちゃうかも	可能会看邮购节目
２時間ドラマとか見ちゃうんだ	看了两个小时的电视剧
なら、今度一緒にやろう	那下次一起做吧
メイドたちでサッカーチームを作るとか	女仆们组成足球队什么的
君にはもっと似合うスポーツがあるよ	有更适合你的运动
やっぱり、犬？	果然是狗？
猫っぽいところ、あるよね	有像猫一样的地方吧
……豚、とか	……猪，什么的
好きにコースを決めてみたら？	你可以随便决定路线吗？
音楽を聴きながら、なんてどう？	一边听音乐，怎么样？
汗を流すなら、もっと良い方法がある	如果出汗的话，有更好的方法
水着がよく似合いそう	好像很适合穿泳衣
身体を動かせばあったかくなるよ	活动身体的话会暖和的
着込んだ君も可愛いと思うよ	穿上衣服的你也很可爱
ああいうのって食べたくなっちゃうよね	那样的话就变得想吃了吧
スローフードも悪くないよ	慢食也不错哦
……お金無いの？	……没有钱吗？
努力家なんだね	真是个努力的人啊
今度、ゲームで対戦しよう	下次比赛吧
……実は、マゾ？	……其实，真的吗？
おまけ付きのお菓子	带赠品的点心
特撮やアニメのグッズ	特摄和动画周边
エッチな本とか……	色情的书什么的……
暖かいところ	暖和的地方
寒いところ	寒冷的地方
どこにもいきたくない	哪儿也不想去
好き	很喜欢
君の言葉だったら、なんでも	只要是你说的话，什么都可以
可愛い、かな	可爱吗？
やっぱり体育かな	果然还是体育啊
家庭科とかいいかも	家庭科也不错
ぜひ保健体育で	一定要在保健体育上
献血がいいよ	献血很好哦
性格から見極めよう	从性格来看吧
吸血鬼になればわかるかも	成为吸血鬼的话也许会明白
俺が守ってあげるよ	我来保护你
俺も[HF]と一緒なら平気かな	我和[HF]在一起的话也没关系吧
なにかあったときは守ってね	有什么事的时候请保护我
ぜひお願いしたいな	一定要拜托你啊
じゃあ一緒に作ろう	那么一起做吧
俺のほうが上手く作れるよ	我能做得更好哦
膝枕とか	膝盖枕之类的
撫でてくれる？	可以抚摸我吗？
じゃあ、むこうでこっそり……	那么，在那边偷偷地……
俺も[HF]と同じぐらい	我也和[HF]差不多
胸いっぱいぐらい。	满腔
コップ一杯ぐらい。	一杯左右。
もちろん、したいに決まってる	当然，我是想做的
その前にいろいろ準備しないと	在那之前不做各种准备的话
もうちょっと考えさせて	让我再考虑一下
俺も尽くされるのは好きだな	我也喜欢被尽力
[HF]相手だと枯れちゃいそう	如果对方是[HF]的话会枯萎的
相手を束縛しちゃうタイプ？	束缚对方的类型？
俺のほうこそごめん	我才是对不起
あくまで例え話だよ	说到底只是个比喻而已
本当だったら、どうする？	如果是真的，怎么办？
むしろ想像できないなぁ	不如说无法想象啊
それは気にしないけど	虽然我不介意
ちょっとイヤかも……	可能有点讨厌……
声が聞けないのは確かに残念	听不到声音确实很遗憾
どうしても今したいって言ったら？	怎么说现在就想做呢？
[HF]の声、おっきいもんね	[HF]的声音好大啊
観覧車かな	摩天轮吗？
ゴーカートとか楽しそう	卡丁车之类的看起来很开心
お化け屋敷に行ってみたい	我想去鬼屋看看。
エンパイアライフモードの開始方法	帝国生命模式的开始方法
エンパイアライフモードの説明	帝国生活模式的说明
GP01夜伽について	关于GP 01夜伽
チュートリアルを終了する	结束教程
シュールストレミングを注文する	订购超现实主义
エピキュアチーズを注文する	订购电子产品
パンツ丸見えだったところかな	大概是裤子露出来的地方吧
おっぱいがブルンブルン揺れて最高だったよ	乳房摇摇晃晃的最棒了
腰の動きがアレの時みたいでエロかった	腰的动作像那个时候一样很性感
[HF]が挑戦してくれ	[HF]来挑战一下吧
[HF1]に任せた	交给[HF1]了
[HF2]が適任だろう	[HF2]应该胜任吧
闇鍋サンドを注文する	点黑锅三明治
焼き肉サンドを注文する	点烤肉三明治
ササミサンドを注文する	点三明治
「ティーバック」と記憶している	记得是“茶包”
「ティーバッグ」だったと思う	我觉得是“茶包”
「ティーパック」じゃないかな	不是“茶包”吗
「放課後スイーツ倶楽部」とかは？	“放学后甜点俱乐部”是什么？
